strategy,underlying,vehicle,fast_period,fast_mult,mid_period,mid_mult,slow_period,slow_mult,exit_mode,trail_target,time_stop_bars,adx_min,full_trades,full_wr_pct,full_pf,full_ret_pct,full_sharpe,full_max_dd,is_pf,is_ret_pct,oos_trades,oos_wr_pct,oos_pf,oos_ret_pct,oos_sharpe,oos_max_dd,vol_surge_mult,min_body_ratio,opening_lockout_min,tranche_a_r,stagnation_bars
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,fast,none,none,684,40.5,1.07,13.21,0.39,9.14,1.11,12.44,189,42.3,1.01,0.77,0.06,10.18,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,fast,none,none,684,36.7,1.08,7.4,0.41,6.59,1.13,7.56,189,39.7,1.0,-0.16,-0.03,5.78,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,fast,18,none,684,40.5,1.08,15.0,0.44,8.8,1.12,14.17,189,42.3,1.01,0.83,0.06,9.95,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,fast,18,none,684,36.7,1.1,9.52,0.51,5.9,1.16,9.13,189,39.7,1.01,0.39,0.06,5.41,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,fast,30,none,684,40.5,1.08,14.03,0.42,8.93,1.11,12.44,189,42.3,1.02,1.59,0.12,9.68,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,fast,30,none,684,36.7,1.09,8.05,0.44,6.59,1.13,7.56,189,39.7,1.01,0.48,0.08,5.21,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,fast,48,none,684,40.5,1.07,13.21,0.39,9.14,1.11,12.44,189,42.3,1.01,0.77,0.06,10.18,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,fast,48,none,684,36.7,1.08,7.4,0.41,6.59,1.13,7.56,189,39.7,1.0,-0.16,-0.03,5.78,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,fast,none,15,641,39.8,1.06,10.48,0.33,9.98,1.09,9.72,179,41.9,1.01,0.76,0.06,10.86,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,fast,none,15,641,35.9,1.08,6.67,0.38,6.68,1.12,6.61,179,39.1,1.0,0.06,0.01,5.99,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,fast,18,15,641,39.8,1.07,12.23,0.38,9.64,1.11,11.4,179,41.9,1.01,0.82,0.06,10.63,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,fast,18,15,641,35.9,1.1,8.73,0.49,5.99,1.15,8.12,179,39.1,1.02,0.61,0.1,5.62,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,fast,30,15,641,39.8,1.07,11.3,0.35,9.51,1.09,9.72,179,41.9,1.02,1.57,0.12,10.16,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,fast,30,15,641,35.9,1.08,7.32,0.42,6.68,1.12,6.61,179,39.1,1.02,0.7,0.11,5.42,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,fast,48,15,641,39.8,1.06,10.48,0.33,9.98,1.09,9.72,179,41.9,1.01,0.76,0.06,10.86,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,fast,48,15,641,35.9,1.08,6.67,0.38,6.68,1.12,6.61,179,39.1,1.0,0.06,0.01,5.99,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,fast,none,20,464,37.5,0.98,-2.74,-0.11,14.67,1.03,2.65,136,40.4,0.89,-5.39,-0.49,13.1,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,fast,none,20,464,33.8,1.02,1.04,0.08,8.12,1.1,3.97,136,37.5,0.88,-2.93,-0.54,6.79,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,fast,18,20,464,37.5,0.99,-0.67,-0.03,13.09,1.05,4.27,136,40.4,0.9,-4.94,-0.44,13.0,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,fast,18,20,464,33.8,1.04,2.94,0.22,6.66,1.13,5.34,136,37.5,0.9,-2.4,-0.43,6.56,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,fast,30,20,464,37.5,0.98,-1.97,-0.08,13.98,1.03,2.65,136,40.4,0.91,-4.62,-0.41,12.39,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,fast,30,20,464,33.8,1.02,1.63,0.12,7.58,1.1,3.97,136,37.5,0.91,-2.33,-0.42,6.21,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,fast,48,20,464,37.5,0.98,-2.74,-0.11,14.67,1.03,2.65,136,40.4,0.89,-5.39,-0.49,13.1,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,fast,48,20,464,33.8,1.02,1.04,0.08,8.12,1.1,3.97,136,37.5,0.88,-2.93,-0.54,6.79,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,fast,none,25,265,36.6,0.99,-0.91,-0.07,16.11,0.92,-3.81,78,43.6,1.11,2.9,0.35,4.63,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,fast,none,25,265,32.8,1.03,0.93,0.12,8.73,0.99,-0.16,78,42.3,1.08,1.08,0.26,2.42,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,fast,18,25,265,36.6,1.0,0.14,0.01,15.83,0.93,-3.21,78,43.6,1.13,3.35,0.4,4.63,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,fast,18,25,265,32.8,1.05,1.99,0.25,8.5,1.02,0.38,78,42.3,1.13,1.61,0.38,2.42,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,fast,30,25,265,36.6,1.0,-0.14,-0.01,16.11,0.92,-3.81,78,43.6,1.14,3.67,0.44,4.63,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,fast,30,25,265,32.8,1.04,1.52,0.2,8.73,0.99,-0.16,78,42.3,1.13,1.67,0.39,2.42,,,,,
